Cluster,Count,Percentage,Color Mean,Texture Mean,Deep_VGG16 Mean,Deep_ResNet50 Mean,Deep_EfficientNet Mean,Deep_MobileNet Mean,Deep_DenseNet Mean,Deep_Combined Mean,Symmetry Mean,Sym 30,Sym 45,Sym 60,Sym 90,Sym 120,Sym 180,Sym h_flip,Sym v_flip
0,33,12.0%,0.1979,0.1385,0.2340,0.2456,0.2731,0.2310,0.2704,0.2515,0.5969,0.72,0.89,0.95,0.51,0.86,-0.03,-0.36,0.44
1,26,9.5%,0.2425,0.2342,0.3549,0.3589,0.2672,0.2563,0.3407,0.3151,0.2041,-0.08,-0.08,-0.04,0.12,0.14,0.39,0.41,-0.37
2,38,13.9%,0.1577,0.1569,0.3653,0.3162,0.3442,0.3092,0.3418,0.3289,0.3117,0.48,0.11,-0.19,-0.27,-0.59,-0.41,0.31,-0.14
3,24,8.8%,0.1645,0.1589,0.1529,0.1670,0.1911,0.1842,0.1933,0.1788,0.0747,-0.05,-0.01,0.03,0.01,-0.01,-0.11,0.24,-0.15
4,24,8.8%,0.8576,0.2977,0.3546,0.3711,0.3759,0.3651,0.5122,0.3930,0.1155,-0.13,-0.07,-0.06,-0.03,-0.11,0.07,-0.22,0.23
5,25,9.1%,0.2322,0.2411,0.2713,0.2837,0.3081,0.2963,0.4013,0.3100,0.3349,0.40,0.48,0.53,0.38,0.41,0.06,-0.12,0.30
6,17,6.2%,0.4241,0.2092,0.4023,0.3130,0.3180,0.3178,0.4165,0.3397,0.2907,-0.43,-0.45,-0.35,-0.09,-0.17,0.13,0.06,-0.65
7,55,20.1%,0.2473,0.1037,0.2467,0.2470,0.2433,0.2035,0.2585,0.2391,0.4007,-0.84,-0.72,-0.59,-0.24,-0.35,0.09,-0.26,0.11
8,18,6.6%,0.2435,0.2223,0.1890,0.2765,0.2476,0.2349,0.2572,0.2513,0.3192,0.21,0.30,0.35,0.08,0.31,-0.21,0.44,-0.65
9,14,5.1%,0.2236,0.4174,0.3950,0.3341,0.3950,0.3270,0.3427,0.3518,0.2375,0.34,0.00,-0.24,-0.41,-0.03,0.19,-0.16,0.54
